path,bytes,lines,sha256
.github/workflows/release-audit.yml,564,27,ac30f5a8ee6c1cc76c2853fe2285adf7f80bd04b4910a52dd588f22c2bbcee1a
CITATION.cff,1293,35,e6e7abcc77f6d41451f8e45eac96c4a76d62c04bb26d10f6b42b110f1aad52e4
LICENSE,1067,,31ab4e97fcc6e67b976a8263766a9fd1c1e22ee39254f39736d131d1f2536867
PROTOCOL.md,6952,145,7f0d00ce66558639494160a5126cd1c153b720ea0cf32346a43ce0079c3fd5a8
README.md,8317,164,147a3216357270cefdf1d3dd617919f64675b06cfacb64e52286ecfed954bd53
REPRODUCIBILITY.md,9665,250,8509de9255190681008988435de3169c5c64658cc7cdab519cf3ea3c79cc7585
config.yaml,846,31,6654524cafbfb518a86516dd465195b878bf4a857d2037c75d0d8c8967a36005
data/processed/labeled.jsonl,30983,110,2f5b5eb5cbdf51b9497e3683bdd8e3de8ecf991ec7eb1f6df1e9c1777076e2e2
data/processed/logic_sublabeled.jsonl,24238,96,1b31e87eb003998c7fa7fa1cc556856053cde0e6332f5e6fb763c1991059ad50
data/processed/logic_sublabeled_blind2.jsonl,35102,96,9d41a15e4566db5ba6e5f2a96eb7cf49c401db7b385d5e1e579985be2809ddd9
data/processed/results.jsonl,100982,656,82e449ff7ce7dd82790d471bfa39c3fee5bddc85a70940a5656866256810a8fe
data/raw/HumanEval.jsonl,214602,164,e07b8a014c6e771c142b75bcab016fae614ebfd26774f0f18baddf9723fcb0a8
data/raw/generations/deepseek__deepseek-chat.jsonl,93645,164,716adaf1ad620ab987f3879e6fdcd40c1e77dc88a4c8574b0a38e29c3a6719f8
data/raw/generations/meta-llama__llama-3.1-8b-instruct.jsonl,84800,164,feadca7a93a9d193932d34f61335382cdaa019fde1304452372053bc61bee211
data/raw/generations/openai__gpt-4o-mini.jsonl,79749,164,797e8518df1265c9149ff42a220f35c67c3cd6bfe335a6d6caac144ff15874f5
data/raw/generations/qwen__qwen-2.5-72b-instruct.jsonl,76832,164,c88a25115033bc7d7f113198b82b1d0f4915007ff87f1dfbcaa9bbc5c42c8068
paper/main.tex,15645,316,a80dcd5215c040a161f4b00c60619b1dfa865961b28955e8d170e27b3db6df2d
paper/references.bib,2553,74,aa5a51eecd16164539ae6876ea48bc4063a8158db223c6536ba0536e20fc8bcf
paper/software_impacts.tex,9451,174,f3d2e46ce4e707b290123b85e88933aa433f31d5d881e3d4d9e9de58f448cd09
requirements.txt,137,8,067c136aeb142475f61336eb47c29faa26fcdd1dca4189ae2e15536ef43d5074
results/figures/fig1_category_freq.png,34797,,d1fee098cf277f17155131a124d6bdd5ae7d25ff69ebdac950942bbd153445cf
results/figures/fig2_category_by_model.png,48027,,186570919c9d1006e38c6ebdcc1a778d9cda8e3288a8e8404d473ca954538353
results/figures/fig3_logic_subcat.png,41356,,9b0c78c5651d238e3e62faf1ae9faed88b729dc28af8fda25ee96484483fc149
results/human_eval/CODING_GUIDE.md,983,19,d46354ac4b6b645e37aafb92cc614f4109fb75ea0b468b84495661174d512200
results/human_eval/README.md,646,12,59e1d8efe0f9515c8b9e98de03d8a09f052cdf59542fd69d680da8ccb3d636f9
results/human_eval/review_key.csv,16587,41,396226e2f876b3cc2812d18eec3f445d1e796cce1aa94beb09ae8602fcfa1c2c
results/human_eval/review_sheet.csv,40970,1122,884eb013bc31742c1b13dcc7d04e49373177497e73255b11e1a1448a3b68fe6f
results/tables/auto_label_agreement.txt,642,10,05fec3ecdaee7b012f3e720bb65fb846f1c13ed333664a899e7f798cf2b04a07
results/tables/auto_label_confusion.csv,303,8,221a191ae2202cae00bec983befdf946ec6cfabc21b0f5d371fc7b9ddc037473
results/tables/auto_label_disagreements.csv,22282,55,e5c8955253a06261f6617c18828b0da7f3fc1fbca7584539fbd6db2f3fae33cd
results/tables/category_by_model.csv,196,8,595c7bac7a8627eae984e4cd10082852e3284707092700e0250f0fe36e4dc076
results/tables/category_by_model_std_residuals.csv,318,8,201e257f488987132a5eca99db446c6f4d78f7435c2e4a418b7cd21e8c2e16b3
results/tables/category_frequency.csv,198,8,ba961a5c3b4a30a0c674ea5404cb0c2dfaa3818ba0952ab69e6b4ce5f8005245
results/tables/chisq.txt,288,6,25ea73cc9aa8cb9927b91cc46b5e77660c8db6df44d3e58925e84fdeaa229f4c
results/tables/logic_binary_by_model.csv,110,3,844c55adaddbb31db518bb0a9fa737bdf0e8821c5b8ba0f6f2187dcc5eb3558b
results/tables/logic_binary_chisq.txt,301,6,41b67d11b17e0c9bfc83ab882a6fb4c4607ec8306c2ba393ffafd8188c328550
results/tables/logic_subcat_by_model.csv,274,8,8fdafb61121070904b6a787f009b43d74eade97299c1ef159d7d921ee0d0025b
results/tables/logic_subcategory.csv,296,8,4b2f97e4b9c9d894336d986ba3b1f3cc3f6ca3dc615400a52d645b98dd7d9b7b
results/tables/model_metadata.csv,939,8,6972d92a84e2d4087c5d132bfd67c5076881ea9018f33b7f60fe71236a260be9
results/tables/pass_rates.csv,215,5,64f9b15d37aa0ba63e9272eaaebf13a80094f248618533d52e061a7538c8f971
results/tables/permutation_tests.txt,365,13,f2687e60ffcf9186ffbb74ea5f55ffd7765b5474b5fee11def76aa3835086c94
results/tables/prompt_inventory.csv,653,5,bb127cbf675dd24e79b97d068031c93664e2b01aaff8589a3d7815dfb6975f05
scripts/audit_dataset_integrity.py,12185,307,379b5ce8a7d57c450a53163366bf1d19cbd349be824da908b179a74378134920
scripts/audit_metadata.py,2340,78,3dd6732d1ee0b0d402af79e09244092ed8d74947526bafdc04e9e4d342c4c5ab
scripts/audit_numeric_claims.py,12258,307,1414815913c36cf0a843eba88b9718023ef0037c79f900a6af517a830d7f8b33
scripts/audit_release.py,36482,1033,1672c4b4d135ebd7f5f7214de082b49793cc2e26608173ec6a3e77e12d525484
scripts/audit_submission_ready.py,3685,127,0fc53f339fce190eb5938caeb2d5a3a78265ffb2b9bccbbceeab5a78fa0ebc30
